x1,y1,G_dgm
421717.485225,211972.543415,3056.86385128
421716.530745,211972.84169,3056.59789006
421715.576265,211973.139965,3056.34319033
421714.621785,211973.43824,3056.09975209
421713.667305,211973.736515,3055.86757533
421712.712825,211974.03479,3055.66436492
421711.758345,211974.333065,3055.4647969
421710.803865,211974.63134,3055.25777667
421709.849385,211974.929615,3055.04330423
421708.894905,211975.22789,3054.82137959
421707.940425,211975.526165,3054.59200273
421706.985945,211975.82444,3054.30600652
421706.031466,211976.122715,3054.00371746
421705.076986,211976.42099,3053.68738066
421704.122506,211976.719265,3053.35699611
421703.168026,211977.01754,3053.03656446
421702.213546,211977.315815,3052.74173374
421701.259066,211977.61409,3052.43284053
421700.304586,211977.912365,3052.1199717
421699.350106,211978.21064,3051.80312725
421698.395626,211978.508915,3051.48230717
421697.441146,211978.80719,3051.15751148
421696.486666,211979.105465,3050.79392927
421695.532186,211979.40374,3050.39381514
421694.577706,211979.702015,3049.99311049
421693.623226,211980.00029,3049.59455893
421692.668746,211980.298565,3049.21177099
421691.714266,211980.59684,3048.83493817
421690.759786,211980.895115,3048.38158448
421689.805306,211981.19339,3047.90633023
421688.850826,211981.491665,3047.43335489
421687.896346,211981.78994,3046.96265847
421686.941866,211982.088215,3046.49424095
421685.987386,211982.38649,3046.03013041
421685.032906,211982.684765,3045.61571981
421684.078426,211982.98304,3045.20689837
421683.123946,211983.281315,3044.79536496
421682.169466,211983.57959,3044.38492251
421681.214986,211983.877865,3044.03386458
421680.260506,211984.17614,3043.8285587
